"","logFC","logCPM","LR","PValue","FDR"
"CLEC18B",-1.74194500832543,0.738497689652936,19.0719310552342,1.25882771939212e-05,0.00114426284804928
"LINC01257",2.10800079733613,-0.106960357557252,19.0290464187757,1.28743699962513e-05,0.00116492472988911
"SCG2",1.10904557335975,5.822290773125,19.0189469785803,1.29426901138874e-05,0.0011657833968036
"DFFB",-0.5293067180061,3.66564039039789,18.974279730961,1.32492455628789e-05,0.00118799570169235
"LCN6",-1.77751299561666,-0.891239715883706,18.93644184238,1.35146290220353e-05,0.0012046240245037
"ZNF814",-0.657943429830082,4.88930274100414,18.9305717698293,1.35562756088173e-05,0.0012046240245037
"MCM6",0.632195032176198,4.06569889290736,18.8637230878131,1.40397393280344e-05,0.00124201551126933
"C10orf62",-1.53162980700474,-0.373352856312924,18.8437746569205,1.41873379845729e-05,0.00124949462001021
"GRM6",-0.871136498042079,2.35854316636514,18.8342897279303,1.4258062738713e-05,0.00125016712933777
"ZNF442",0.738936104340909,1.69747829099393,18.8151794388826,1.44016366580668e-05,0.00125719309258261
"EIF4H",0.560191155303066,6.6434086223505,18.7962081048498,1.45456028625714e-05,0.00126200103978743
"CTHRC1",-0.893768629761545,1.50771037718592,18.7873688236343,1.46131735497669e-05,0.00126200103978743
"REP15",-1.16708382861229,0.747739009742212,18.7828587650618,1.46477714549409e-05,0.00126200103978743
"LINC01176",-0.677128414815268,1.49561151415803,18.6713245981435,1.55300572805907e-05,0.00133222344187093
"BANP",-0.639871309618678,4.54137799629688,18.6533199780311,1.56774041887622e-05,0.00133708105733063
"ATP6V1E1",0.902980036472266,6.863694016832,18.6479486827216,1.57216333446729e-05,0.00133708105733063
"ACADSB",0.643164868969397,5.14450896663202,18.6359926071376,1.58205344255645e-05,0.0013397423511837
"BRE",0.618895735650548,4.6842337468279,18.6144014657023,1.60007230771032e-05,0.00134923544040799
"ZNF618",-0.59463281788124,4.59018318915202,18.5788319314137,1.63020747846228e-05,0.00136882166920375
"CCDC151",-1.10801467498791,2.68738647226461,18.5253290868217,1.67661324927026e-05,0.00139141166445536
"USP5",0.658421571133874,7.05671287252086,18.5179154228506,1.68314733094958e-05,0.00139141166445536
"XRCC6",0.624391477397731,6.52662292895747,18.5094146067357,1.69067106740025e-05,0.00139141166445536
"PSMB2",0.643798342148206,5.55030086419325,18.5046152915894,1.69493366198229e-05,0.00139141166445536
"SH3GL1P1",-1.0565459222667,3.47919083460399,18.5025345724833,1.69678504159483e-05,0.00139141166445536
"VPS11",0.412442736192665,5.75288598386069,18.4960549023931,1.70256353703336e-05,0.00139141166445536
"ADORA2A-AS1",-1.64472293253495,1.83246770547389,18.4867035770416,1.71093780856975e-05,0.00139141166445536
"KMT2E-AS1",-0.681077776259864,3.9491809618471,18.4749004777024,1.72156678034803e-05,0.00139141166445536
"S100A4",-1.37248259945632,1.38343221568938,18.4645442772948,1.73094740188724e-05,0.00139141166445536
"DAO",-1.87065722605773,0.930215146003506,18.4642323898309,1.73123070382172e-05,0.00139141166445536
"IRX2",-2.98245272137506,-0.723660224812723,18.4608023754997,1.73434942026884e-05,0.00139141166445536
"LRRC8B",0.738872722994374,6.83993652711371,18.4483343535696,1.74573349818952e-05,0.00139489737903724
"BEND7",-0.757006559104269,2.42674208136185,18.3965142079907,1.7938584463325e-05,0.00142759433624597
"RBM38",-0.556188026470305,4.16345363964844,18.3661759558833,1.82264954659556e-05,0.00144470493661351
"LANCL2",0.55206530916105,5.97787818364491,18.3312231725688,1.85639582449995e-05,0.00146465791349116
"ESYT1",0.438086236006895,5.93928781517443,18.3199495291524,1.867413641333e-05,0.00146465791349116
"LMNTD2",-1.41284726067767,1.38740380224572,18.3173166458749,1.86999622584409e-05,0.00146465791349116
"ABCC2",-1.06839348105241,1.13318179614801,18.3073062657432,1.87984816341391e-05,0.0014665776065437
"CEL",-1.5534862205095,1.29272935137879,18.2588653543619,1.92826404616946e-05,0.0014984502093684
"CXCR1",-1.68218880071087,0.352494877625484,18.2463862887496,1.94093831484551e-05,0.0015024075643351
"TRIM8",-0.472609602950294,7.39718795412112,18.1918684020137,1.99729781087112e-05,0.0015400176428102
"LOC101928238",1.03857900483931,1.05984944804286,18.1839780090085,2.00558982660488e-05,0.00154041736449622
"CCNJL",-1.48670765274524,2.2876736466407,18.153054245882,2.03842235789177e-05,0.00155958986270206
"LINC01068",-1.7499816430877,-1.38068119032237,18.1260779092567,2.06750451059697e-05,0.00157032260381248
"ZRANB3",0.493536165350295,3.87315290479556,18.1230861194583,2.07075541508773e-05,0.00157032260381248
"TAF3",-0.418265474363426,4.98646048667832,18.1180641580056,2.07622387060391e-05,0.00157032260381248
"PEX7",0.76529133729311,2.14605641805151,18.0950863144272,2.10143028061569e-05,0.0015739529810405
"SPACA6",-1.01593923584734,4.2675707043653,18.0880234337773,2.10923977673949e-05,0.0015739529810405
"LRP4",-0.681963882217177,8.42175441192491,18.0870372454925,2.11033253214803e-05,0.0015739529810405
